path	line	reason	rule	text
tests/tests/specs/_probes/numberScale.probe.spec.ts	3	attributive-reference	phase-ref	Phase 130
tests/tests/specs/_probes/numberScale.probe.spec.ts	115	not-a-comment-span	task-id	EQTYP-01
tests/tests/specs/_probes/numberScale.probe.spec.ts	115	not-a-comment-span	task-id	EQTYP-02
tests/tests/specs/_probes/orgMatching.probe.spec.ts	36	not-a-comment-span	task-id	EPERM-10
tests/tests/specs/_probes/popupNotice.probe.spec.ts	29	not-a-comment-span	task-id	EPERM-09
tests/tests/specs/_probes/questionInfo.probe.spec.ts	36	not-a-comment-span	task-id	EPERM-07
tests/tests/specs/_probes/video.probe.spec.ts	51	not-a-comment-span	task-id	EPERM-06
tests/tests/setup/shared/assertTeardown.ts	42	unstrippable-section-anchor	section-anchor-alpha	§ Adjudication
tests/tests/setup/shared/assertTeardown.ts	64	unstrippable-section-anchor	section-anchor-alpha	§ Adjudication
tests/tests/setup/shared/assertTeardown.ts	102	unstrippable-section-anchor	section-anchor-alpha	§ Adjudication
tests/tests/setup/perm/perm-show-feedback-survey.setup.ts	9	attributive-reference	phase-ref	Phase 119
tests/tests/setup/candidate/bank-auth-journey.setup.ts	11	attributive-reference	phase-ref	Phase 140
tests/tests/setup/candidate/bank-auth-journey.teardown.ts	4	unstrippable-section-anchor	section-anchor-alpha	§Runtime
tests/tests/helpers/navigation.ts	13	unstrippable-section-anchor	section-anchor-alpha	§ Named
tests/tests/helpers/navigation.ts	18	attributive-reference	phase-ref	Phase 138
tests/tests/helpers/navigation.ts	46	unstrippable-section-anchor	section-anchor-alpha	§ Named
tests/tests/helpers/navigation.ts	164	unstrippable-section-anchor	section-anchor-alpha	§B.5
tests/tests/helpers/navigation.ts	298	unstrippable-section-anchor	section-anchor-alpha	§ Named
tests/tests/fixtures/voter/views.ts	93	milestone-version	milestone-ver	v2.14
tests/tests/fixtures/voter/views.ts	94	milestone-version	milestone-ver	v2.15
tests/tests/fixtures/voter/views.ts	98	unstrippable-section-anchor	section-anchor-alpha	§ U-1
tests/tests/fixtures/shared/forensicCapture.fixture.ts	12	unstrippable-section-anchor	section-anchor-alpha	§ DEF-135-04:
tests/tests/fixtures/shared/forensicCapture.fixture.ts	18	unstrippable-section-anchor	section-anchor-alpha	§ U-1
tests/tests/fixtures/shared/forensicCapture.fixture.ts	42	milestone-version	milestone-ver	v2.14
tests/tests/fixtures/shared/forensicCapture.fixture.ts	43	milestone-version	milestone-ver	v2.15
tests/tests/fixtures/shared/theme.fixture.ts	19	attributive-reference	phase-ref	Phase 121
tests/tests/fixtures/shared/trackingIntercept.fixture.ts	9	unstrippable-section-anchor	section-anchor-alpha	§Tracking
tests/scripts/determinism-batch.sh	89	attributive-reference	phase-ref	Phase 137
tests/scripts/determinism-batch.sh	91	milestone-version	milestone-ver	v2.15
tests/scripts/determinism-batch.sh	96	not-a-comment-span	task-id	EPERM-07
tests/scripts/determinism-batch.sh	224	not-a-comment-span	artifact-path	138-DETERMINISM-LEDGER.md
tests/scripts/determinism-batch.sh	265	not-a-comment-span	phase-ref	Phase 138
tests/scripts/determinism-batch.sh	265	not-a-comment-span	task-id	INTEG-02
tests/scripts/determinism-batch.sh	296	not-a-comment-span	phase-ref	Phase 137
tests/scripts/determinism-batch.sh	311	not-a-comment-span	artifact-path	138-NEGATIVE-CONTROL.md
tests/scripts/determinism-batch.sh	320	not-a-comment-span	task-id	EPERM-07
tests/scripts/determinism-batch.sh	530	not-a-comment-span	decision-id-bare	D-17
tests/scripts/determinism-batch.sh	533	not-a-comment-span	decision-id-bare	D-17
tests/scripts/determinism-batch.sh	548	not-a-comment-span	task-id	EPERM-07
tests/scripts/e2e-run.sh	251	not-a-comment-span	phase-ref	Phase 138
tests/scripts/e2e-run.sh	251	not-a-comment-span	decision-id-bare	D-12
tests/scripts/e2e-run.sh	445	not-a-comment-span	decision-id-bare	D-17
tests/scripts/e2e-run.sh	456	not-a-comment-span	decision-id-bare	D-17
packages/question-info/src/core/infoGeneration.ts	119	todo-class	todo-class	TODO
packages/matching/src/distance/metric.ts	220	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	16	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	17	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	18	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	19	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	20	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	69	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	100	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	167	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	205	todo-class	todo-class	TODO
packages/llm/src/llm-providers/llmProvider.ts	214	todo-class	todo-class	TODO
packages/llm/src/llm-providers/provider.types.ts	18	todo-class	todo-class	TODO
packages/dev-seed/README.md	22	markdown-file	decision-id-long	D-58-11
packages/dev-seed/README.md	38	markdown-file	decision-id-long	D-58-08
packages/dev-seed/README.md	51	markdown-file	decision-id-long	D-58-09
packages/dev-seed/README.md	65	markdown-file	decision-id-long	D-58-17
packages/dev-seed/README.md	92	markdown-file	phase-ref	Phase 57
packages/dev-seed/README.md	111	markdown-file	task-id	TMPL-03
packages/dev-seed/README.md	181	markdown-file	task-id	TMPL-03
packages/dev-seed/README.md	234	markdown-file	task-id	GEN-04
packages/dev-seed/README.md	239	markdown-file	phase-ref	Phase 57
packages/dev-seed/README.md	240	markdown-file	artifact-path	`.planning/phases/57-latent-factor-answer-model/57-CONTEXT.md`
packages/dev-seed/README.md	255	markdown-file	decision-id-long	D-58-12
packages/dev-seed/README.md	256	markdown-file	decision-id-bare	D-15
packages/dev-seed/README.md	285	markdown-file	task-id	TMPL-09
packages/dev-seed/README.md	285	markdown-file	decision-id-bare	D-16
packages/dev-seed/README.md	300	markdown-file	phase-ref	Phase 56
packages/dev-seed/README.md	301	markdown-file	artifact-path	`.planning/phases/56-generator-foundations-plumbing/`
packages/dev-seed/README.md	302	markdown-file	phase-ref	Phase 57
packages/dev-seed/README.md	303	markdown-file	artifact-path	`.planning/phases/57-latent-factor-answer-model/`
packages/dev-seed/README.md	304	markdown-file	phase-ref	Phase 58
packages/dev-seed/README.md	305	markdown-file	artifact-path	`.planning/phases/58-templates-cli-default-dataset/`
packages/dev-seed/README.md	307	markdown-file	section-anchor-alpha	§
packages/dev-seed/tests/assets.test.ts	25	not-a-comment-span	task-id	GEN-10
packages/dev-seed/tests/assets.test.ts	29	not-a-comment-span	decision-id-long	D-58-05
packages/dev-seed/tests/determinism.test.ts	18	not-a-comment-span	task-id	TMPL-08
packages/dev-seed/tests/determinism.test.ts	43	unstrippable-section-anchor	section-anchor-alpha	§Pitfall
packages/dev-seed/tests/determinism.test.ts	93	not-a-comment-span	phase-ref	Phase 56
packages/dev-seed/tests/locales.test.ts	19	not-a-comment-span	task-id	TMPL-07
packages/dev-seed/tests/pipeline.test.ts	41	not-a-comment-span	task-id	TMPL-02
packages/dev-seed/tests/pipeline.test.ts	63	not-a-comment-span	decision-id-bare	D-25
packages/dev-seed/tests/pipeline.test.ts	70	not-a-comment-span	decision-id-bare	D-25
packages/dev-seed/tests/pipeline.test.ts	88	not-a-comment-span	decision-id-bare	D-08
packages/dev-seed/tests/pipeline.test.ts	198	not-a-comment-span	decision-id-bare	D-06
packages/dev-seed/tests/pipeline.test.ts	223	not-a-comment-span	task-id	GEN-08
packages/dev-seed/tests/supabaseAdminClient.test.ts	127	not-a-comment-span	phase-ref	Phase 58
packages/dev-seed/tests/template.test.ts	22	not-a-comment-span	task-id	TMPL-02
packages/dev-seed/tests/template.test.ts	22	not-a-comment-span	decision-id-bare	D-18
packages/dev-seed/tests/template.test.ts	27	not-a-comment-span	task-id	TMPL-09
packages/dev-seed/tests/template.test.ts	31	not-a-comment-span	task-id	TMPL-09
packages/dev-seed/tests/template.test.ts	35	not-a-comment-span	task-id	TMPL-09
packages/dev-seed/tests/template.test.ts	79	not-a-comment-span	task-id	TMPL-07
packages/dev-seed/tests/template.test.ts	84	not-a-comment-span	task-id	TMPL-07
packages/dev-seed/tests/template.test.ts	89	not-a-comment-span	task-id	TMPL-07
packages/dev-seed/tests/template.test.ts	95	not-a-comment-span	task-id	TMPL-07
packages/dev-seed/tests/template.test.ts	95	not-a-comment-span	task-id	TMPL-02
packages/dev-seed/tests/writer.test.ts	132	not-a-comment-span	decision-id-bare	D-15
packages/dev-seed/tests/writer.test.ts	137	not-a-comment-span	decision-id-bare	D-15
packages/dev-seed/tests/writer.test.ts	184	not-a-comment-span	decision-id-bare	D-11
packages/dev-seed/tests/writer.test.ts	196	not-a-comment-span	decision-id-bare	D-11
packages/dev-seed/tests/writer.test.ts	208	not-a-comment-span	decision-id-bare	D-11
packages/dev-seed/tests/writer.test.ts	289	not-a-comment-span	phase-ref	Phase 58
packages/dev-seed/tests/writer.test.ts	289	not-a-comment-span	task-id	GEN-09
packages/dev-seed/tests/templates/base.test.ts	114	not-a-comment-span	decision-id-long	D-58-16
packages/dev-seed/tests/templates/default.test.ts	142	not-a-comment-span	decision-id-long	D-58-03
packages/dev-seed/tests/templates/default.test.ts	143	not-a-comment-span	decision-id-bare	D-15
packages/dev-seed/tests/templates/default.test.ts	151	not-a-comment-span	decision-id-bare	D-15
packages/dev-seed/tests/templates/default.test.ts	231	not-a-comment-span	decision-id-long	D-58-04
packages/dev-seed/tests/templates/default.test.ts	235	not-a-comment-span	decision-id-long	D-58-01
packages/dev-seed/tests/templates/default.test.ts	240	not-a-comment-span	decision-id-long	D-58-02
packages/dev-seed/tests/templates/default.test.ts	244	not-a-comment-span	decision-id-long	D-58-02
packages/dev-seed/tests/templates/default.test.ts	248	not-a-comment-span	phase-ref	Phase 64
packages/dev-seed/tests/templates/default.test.ts	252	not-a-comment-span	decision-id-long	D-58-02
packages/dev-seed/tests/templates/default.test.ts	256	not-a-comment-span	decision-id-long	D-58-02
packages/dev-seed/tests/templates/default.test.ts	256	not-a-comment-span	decision-id-bare	D-15
packages/dev-seed/tests/templates/default.test.ts	260	not-a-comment-span	phase-ref	Phase 64
packages/dev-seed/tests/template/latent.schema.test.ts	29	not-a-comment-span	decision-id-long	D-57-21
packages/dev-seed/tests/template/latent.schema.test.ts	30	not-a-comment-span	phase-ref	Phase 56
packages/dev-seed/tests/template/latent.schema.test.ts	42	not-a-comment-span	decision-id-long	D-57-02
packages/dev-seed/tests/template/latent.schema.test.ts	52	not-a-comment-span	task-id	TMPL-09
packages/dev-seed/tests/latent/centroids.test.ts	33	not-a-comment-span	decision-id-long	D-57-03
packages/dev-seed/tests/latent/centroids.test.ts	33	not-a-comment-span	decision-id-long	D-57-05
packages/dev-seed/tests/latent/centroids.test.ts	63	not-a-comment-span	decision-id-long	D-57-05
packages/dev-seed/tests/latent/centroids.test.ts	81	not-a-comment-span	decision-id-long	D-57-05
packages/dev-seed/tests/latent/clustering.integration.test.ts	94	not-a-comment-span	decision-id-long	D-57-17
packages/dev-seed/tests/latent/clustering.integration.test.ts	94	not-a-comment-span	decision-id-long	D-57-18
packages/dev-seed/tests/latent/dimensions.test.ts	19	not-a-comment-span	decision-id-long	D-57-01
packages/dev-seed/tests/latent/dimensions.test.ts	19	not-a-comment-span	decision-id-long	D-57-02
packages/dev-seed/tests/latent/gaussian.test.ts	61	not-a-comment-span	decision-id-long	D-57-11
packages/dev-seed/tests/latent/latentEmitter.test.ts	57	not-a-comment-span	decision-id-long	D-57-13
packages/dev-seed/tests/latent/latentEmitter.test.ts	57	not-a-comment-span	decision-id-long	D-57-14
packages/dev-seed/tests/latent/latentEmitter.test.ts	63	not-a-comment-span	decision-id-long	D-57-13
packages/dev-seed/tests/latent/latentEmitter.test.ts	99	not-a-comment-span	decision-id-long	D-57-14
packages/dev-seed/tests/latent/latentEmitter.test.ts	114	not-a-comment-span	decision-id-long	D-57-14
packages/dev-seed/tests/latent/loadings.test.ts	42	not-a-comment-span	decision-id-long	D-57-06
packages/dev-seed/tests/latent/loadings.test.ts	42	not-a-comment-span	decision-id-long	D-57-07
packages/dev-seed/tests/latent/loadings.test.ts	63	not-a-comment-span	phase-ref	Phase 56
packages/dev-seed/tests/latent/loadings.test.ts	90	not-a-comment-span	decision-id-long	D-57-07
packages/dev-seed/tests/latent/positions.test.ts	23	not-a-comment-span	decision-id-long	D-57-04
packages/dev-seed/tests/latent/positions.test.ts	38	not-a-comment-span	decision-id-long	D-57-04
packages/dev-seed/tests/latent/positions.test.ts	83	not-a-comment-span	decision-id-long	D-57-04
packages/dev-seed/tests/latent/project.test.ts	145	not-a-comment-span	decision-id-long	D-57-09
packages/dev-seed/tests/latent/spread.test.ts	20	not-a-comment-span	decision-id-long	D-57-04
packages/dev-seed/tests/integration/default-template.integration.test.ts	13	attributive-reference	phase-ref	Phase 135
packages/dev-seed/tests/integration/default-template.integration.test.ts	29	attributive-reference	phase-ref	Phase 135
packages/dev-seed/tests/integration/default-template.integration.test.ts	92	attributive-reference	phase-ref	Phase 135
packages/dev-seed/tests/integration/default-template.integration.test.ts	200	not-a-comment-span	decision-id-long	D-58-20
packages/dev-seed/tests/integration/default-template.integration.test.ts	257	attributive-reference	phase-ref	Phase 88
packages/dev-seed/tests/integration/default-template.integration.test.ts	377	milestone-version	milestone-ver	v2.6
packages/dev-seed/tests/generators/AccountsGenerator.test.ts	13	not-a-comment-span	decision-id-bare	D-11
packages/dev-seed/tests/generators/AlliancesGenerator.test.ts	23	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/AlliancesGenerator.test.ts	29	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/AppSettingsGenerator.test.ts	41	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/CandidatesGenerator.test.ts	46	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/CandidatesGenerator.test.ts	89	not-a-comment-span	decision-id-bare	D-27
packages/dev-seed/tests/generators/CandidatesGenerator.test.ts	106	not-a-comment-span	decision-id-bare	D-27
packages/dev-seed/tests/generators/CandidatesGenerator.test.ts	106	not-a-comment-span	phase-ref	Phase 57
packages/dev-seed/tests/generators/CandidatesGenerator.test.ts	132	not-a-comment-span	decision-id-bare	D-57
packages/dev-seed/tests/generators/CandidatesGenerator.test.ts	152	not-a-comment-span	phase-ref	Phase 56
packages/dev-seed/tests/generators/CandidatesGenerator.test.ts	170	not-a-comment-span	decision-id-long	D-57-20
packages/dev-seed/tests/generators/CandidatesGenerator.test.ts	203	not-a-comment-span	decision-id-long	D-57-20
packages/dev-seed/tests/generators/CandidatesGenerator.test.ts	234	not-a-comment-span	decision-id-long	D-57-20
packages/dev-seed/tests/generators/ConstituenciesGenerator.test.ts	19	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/ConstituenciesGenerator.test.ts	25	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/ConstituencyGroupsGenerator.test.ts	19	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/ConstituencyGroupsGenerator.test.ts	25	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/ElectionsGenerator.test.ts	26	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/ElectionsGenerator.test.ts	32	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/FactionsGenerator.test.ts	23	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/FactionsGenerator.test.ts	29	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/NominationsGenerator.test.ts	44	not-a-comment-span	task-id	GEN-08
packages/dev-seed/tests/generators/NominationsGenerator.test.ts	51	not-a-comment-span	task-id	GEN-08
packages/dev-seed/tests/generators/NominationsGenerator.test.ts	58	not-a-comment-span	task-id	GEN-08
packages/dev-seed/tests/generators/NominationsGenerator.test.ts	92	not-a-comment-span	section-anchor	§9
packages/dev-seed/tests/generators/NominationsGenerator.test.ts	104	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/OrganizationsGenerator.test.ts	18	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/OrganizationsGenerator.test.ts	24	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/OrganizationsGenerator.test.ts	52	not-a-comment-span	phase-ref	Phase 56
packages/dev-seed/tests/generators/OrganizationsGenerator.test.ts	52	not-a-comment-span	section-anchor	§4.8
packages/dev-seed/tests/generators/ProjectsGenerator.test.ts	13	not-a-comment-span	decision-id-bare	D-11
packages/dev-seed/tests/generators/QuestionCategoriesGenerator.test.ts	19	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/QuestionCategoriesGenerator.test.ts	25	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/QuestionsGenerator.test.ts	23	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/generators/QuestionsGenerator.test.ts	29	not-a-comment-span	task-id	GEN-04
packages/dev-seed/tests/cli/allowedTeardownTables.test.ts	75	not-a-comment-span	phase-ref	Phase 140
packages/dev-seed/tests/cli/help.test.ts	8	not-a-comment-span	task-id	CLI-04
packages/dev-seed/tests/cli/help.test.ts	8	not-a-comment-span	decision-id-long	D-58-13
packages/dev-seed/tests/cli/summary.test.ts	8	not-a-comment-span	decision-id-long	D-58-14
packages/dev-seed/tests/cli/teardown.test.ts	100	not-a-comment-span	phase-ref	Phase 58
packages/dev-seed/tests/cli/teardown.test.ts	248	not-a-comment-span	task-id	CLI-03
packages/dev-seed/tests/cli/teardown.test.ts	248	not-a-comment-span	decision-id-long	D-58-07
packages/dev-seed/tests/cli/teardown.test.ts	248	not-a-comment-span	decision-id-long	D-58-17
packages/dev-seed/tests/cli/teardown.test.ts	406	not-a-comment-span	task-id	CLI-04
packages/dev-seed/tests/cli/teardown.test.ts	406	not-a-comment-span	decision-id-long	D-58-13
packages/dev-seed/tests/cli/teardown.test.ts	428	not-a-comment-span	decision-id-long	D-58-17
packages/dev-seed/src/index.ts	4	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/index.ts	19	attributive-reference	phase-ref	Phase 57
packages/dev-seed/src/pipeline.ts	171	attributive-reference	phase-ref	Phase 57
packages/dev-seed/src/pipeline.ts	218	attributive-reference	phase-ref	Phase 58
packages/dev-seed/src/pipeline.ts	225	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/resolveAppSettingsExternalIds.ts	15	todo-class	todo-class	TODO
packages/dev-seed/src/supabaseAdminClient.ts	130	attributive-reference	phase-ref	Phase 59
packages/dev-seed/src/supabaseAdminClient.ts	725	unstrippable-section-anchor	section-anchor-alpha	§Specifics:
packages/dev-seed/src/supabaseAdminClient.ts	750	attributive-reference	phase-ref	Phase 58
packages/dev-seed/src/writer.ts	9	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/writer.ts	69	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/writer.ts	138	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/writer.ts	171	unstrippable-section-anchor	section-anchor-alpha	§Specifics.
packages/dev-seed/src/writer.ts	193	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/writer.ts	196	not-a-comment-span	phase-ref	Phase 56
packages/dev-seed/src/writer.ts	197	not-a-comment-span	phase-ref	Phase 58
packages/dev-seed/src/writer.ts	221	unstrippable-section-anchor	section-anchor-alpha	§Specifics:
packages/dev-seed/src/templates/e2e/base.ts	287	unstrippable-section-anchor	section-anchor-alpha	§
packages/dev-seed/src/templates/e2e/base.ts	664	attributive-reference	phase-ref	Phase 129
packages/dev-seed/src/templates/e2e/base.ts	916	attributive-reference	phase-ref	Phase 134
packages/dev-seed/src/templates/e2e/base.ts	1040	unstrippable-section-anchor	section-anchor-alpha	§
packages/dev-seed/src/templates/e2e/perm/perm-org-matching.ts	34	attributive-reference	phase-ref	Phase 119
packages/dev-seed/src/templates/_helpers/buildMinimal.test.ts	170	not-a-comment-span	decision-id-bare	D-16
packages/dev-seed/src/templates/_helpers/buildMinimal.test.ts	177	not-a-comment-span	decision-id-bare	D-16
packages/dev-seed/src/templates/_helpers/buildMinimal.test.ts	183	not-a-comment-span	decision-id-bare	D-16
packages/dev-seed/src/generators/AccountsGenerator.ts	26	milestone-version	milestone-ver	v2.5
packages/dev-seed/src/generators/AccountsGenerator.ts	48	not-a-comment-span	decision-id-bare	D-11
packages/dev-seed/src/generators/AppSettingsGenerator.ts	27	attributive-reference	phase-ref	Phase 58
packages/dev-seed/src/generators/CandidatesGenerator.ts	19	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/generators/CandidatesGenerator.ts	19	attributive-reference	phase-ref	Phase 57
packages/dev-seed/src/generators/CandidatesGenerator.ts	138	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/generators/FeedbackGenerator.ts	4	unstrippable-section-anchor	section-anchor-alpha	§
packages/dev-seed/src/generators/FeedbackGenerator.ts	4	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/generators/FeedbackGenerator.ts	23	attributive-reference	phase-ref	Phase 58
packages/dev-seed/src/generators/FeedbackGenerator.ts	65	not-a-comment-span	phase-ref	Phase 56
packages/dev-seed/src/generators/NominationsGenerator.ts	53	attributive-reference	phase-ref	Phase 56
packages/dev-seed/src/generators/NominationsGenerator.ts	174	not-a-comment-span	decision-id-bare	D-06
packages/dev-seed/src/generators/OrganizationsGenerator.ts	14	unstrippable-section-anchor	section-anchor-alpha	§generators
